0.0420825,-0.270335,0.096882,-0.388569,-0.4496
0.0229321,-0.338103,0.233771,-0.530457,-0.604416
0.0232032,-0.267227,0.11267,-0.412026,-0.452967
0.0426145,0.276678,-0.369149,0.503641,0.504396
0.00477833,-0.366144,0.266889,-0.571316,-0.630718
0.0055579,0.151769,-0.189569,0.291123,0.284191
0.00436361,0.0634653,-0.16405,0.131158,0.107681
0.00731822,-0.329409,0.253227,-0.532467,-0.594068
0.0084009,-0.169143,0.00322219,-0.212167,-0.252972
0.0507984,-0.312981,0.163686,-0.494374,-0.563964
0.0364216,0.313196,-0.340629,0.531519,0.547335
0.0231115,-0.293756,0.176783,-0.471319,-0.512208
0.0226137,0.378222,-0.353847,0.61341,0.645594
0.039002,0.390121,-0.409962,0.684553,0.717994
0.0343408,-0.330235,0.160779,-0.512451,-0.562727
0.0328203,0.363108,-0.390927,0.626612,0.654948
0.0262708,-0.166069,0.067117,-0.24741,-0.281954
0.034413,0.284478,-0.292079,0.469679,0.50332
0.0740231,-0.413534,0.213111,-0.622432,-0.738881
-0.015936,0.252161,-0.0297415,0.357953,0.416523
